Song,Artist,Link,Total
No Wyld - Let Me Know (Official Audio),NoWyldVEVO,kGIgqwv7dxQ,14
Bridges,Broods ,w1SRTGNqNyQ,1
Beck - Colors (Slime Visualizer),BeckVEVO,8I1B4n_8Cto,1
Portugal. The Man - Live In The Moment [Official Music Video],Portugal. The Man,Hha0bwVvGmY,41
FOALS - Mountain At My Gates [Official Music Video] (GoPro Spherical),Foals,l_EIE5f2t6M,16
Never Gonna Change,Broods ,fVi6PjrpM9E,1
The Last Shadow Puppets - Everything You've Come To Expect (Official Video),The Last Shadow Puppets,IamcaGta7hY,2
Blue Light,SUN SILVA ,-aJ8X_4WR7A,36
Birdy - Shelter [Official Music Video],Birdy,QXwPUYU8rTI,25
Broods - Heartlines,BroodsVEVO,svZ666KgWqM,20
Up All Night,Beck ,0ZJ9PNtmRCs,1
The Only Thing We Know,Bob Moses ,x3XHXAbTZ9U,1
Bob Moses - Tearing Me Up (Official Video),BobMosesVEVO,T4oUeqOkb90,21
The Weeknd - Secrets (Official Video),TheWeekndVEVO,eXDU9um19HM,1
Maroon 5 - Maps (Explicit) (Official Music Video),Maroon5VEVO,NmugSMBh_iI,1
Maroon 5 - Cold ft. Future (Official Music Video),Maroon5VEVO,XatXy6ZhKZw,1
"ZAYN, Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker)",TaylorSwiftVEVO,7F37r50VUTQ,1
Dermot Kennedy - Giants (360º Visualiser),Dermot Kennedy,lM86kXbz4Vw,1
Foals - Miami [Official Video],Foals,vQ90LRaEIt0,1
"Broods - Heartlines | Sofar Washington, DC",Sofar Sounds,pzXE3RN1R58,1
BROODS - Everything Goes (Wow) [Official Video],BROODS,7T40dW3_bG0,1
Peach,Broods ,YQCxGMMNN3w,1
dodie - She (Live) | Vevo DSCVR,VevoDSCVR,tAAl3HV-0t0,2
BENEE - Supalonely ft. Gus Dapperton,BeneeMusicVEVO,Rb6Scz-5YOs,1
Everytime,Foals ,RUsdi9AVC6Q,1
In The Middle,dodie ,1cYogvYXAtQ,14
Rihanna - Stay ft. Mikky Ekko,RihannaVEVO,JF8BRvqGCNs,1
Mountain at My Gates (Alex Metric Remix),Foals ,tx6LOqiSmjE,1
In Degrees (Purple Disco Machine Remix),Foals ,yr0GVJJU9j8,1
Clouds,BØRNS ,zklODPVvvgc,1
Florence + The Machine - Hunger,FlorenceMachineVEVO,5GHXEGz3PJg,1
The Kooks - Bad Habit,TheKooksVEVO,3tUh-x-fp8Q,1
Chelou - Halfway to Nowhere,ChelouVEVO,BgP9tzt9_Z8,1
Vance Joy - Fire and the Flood [Official Video],Vance Joy,zKmWd8DPrEc,2
Major Lazer - 'Get Free' feat. Amber (of Dirty Projectors) OFFICIAL LYRIC VIDEO + HQ AUDIO,Mad Decent,OI3shBXlqsw,1
Bryce Vine - Drew Barrymore [Official Music Video],Bryce Vine,kudi8OtMu9s,7
"ROSALÍA, Ozuna - Yo x Ti, Tu x Mi (Official Video)",RosaliaVEVO,2j3x0VYnehg,1
The Last Shadow Puppets - My Mistakes Were Made For You (Official Video),Domino Recording Co.,9cQloro92xA,1
The Last Shadow Puppets - Aviation (Official Video),TLSPVEVO,Fd1Xc6-6VVg,1
Mansionair - Technicolour,MansionairVEVO,Mugxhps3ZhY,1
Lose It,Oh Wonder ,dKpaGS-vllI,2
Tom Walker - Just You and I (Official Video),TomWalkerVEVO,fS0SyW980YI,16
Mansionair - Astronaut (Something About Your Love),MansionairVEVO,O4BSQj2CAJM,1
Stealth - Truth Is (Official Video) [Ultra Music],Ultra Music,yPB-Sgkc6CA,26
Broods - Peach (Official Video),BROODS,Eiht451O8fM,18
Candles,Daughter ,v62HpLlM89U,7
Youth,Daughter ,24JIe0fKNHU,7
Declan McKenna - The Kids Don't Wanna Come Home (Official Video),DeclanMcKennaVEVO,5FafAfiWtog,1
"BØRNS, Lana Del Rey - God Save Our Young Blood (Official Audio)",BØRNSmusicVEVO,vUiE_0GPqKE,1
King Princess - King Princess: Deep Inside Cheap Queen,KingPrincessVEVO,_yZo2bclxG8,1
Falling,Mansionair ,vqYmvJuG538,1
Hozier - Cherry Wine (Official Video),HozierVEVO,SdSCCwtNEjA,1
King Princess - Make My Bed,King Princess,WTuJYwrygSg,1
The 1975 - Somebody Else (Official Video),The1975VEVO,Bimd2nZirT4,5
SAINT MOTEL - My Type (Official Video),Saint Motel,IyVPyKrx0Xo,22
King Princess - Hit The Back (Dance Video),King Princess,wX1NpYxeTjM,3
King Princess - Prophet (Official Audio),KingPrincessVEVO,9jNyNMvaAMw,1
Sufjan Stevens - Chicago [The Politician Soundtrack Theme Song — OFFICIAL AUDIO],Sufjan Stevens,tWX3El-slpY,1
Peggy Gou- It Makes You Forget (ITGEHANE) (FIFA 19 Official Soundtrack),favelamarek,gLMPBMaP4Ew,4
Maggie Rogers - Dog Years (Official Video),MaggieRogersVEVO,NgWC5oEuyjU,1
Haim - Now I'm In It,HaimVEVO,G-UnzRM24IM,1
The 1975 - Girls (Official Video),The1975VEVO,QkubQCI4Fxo,2
Tom Walker - Now You're Gone (Official Video) ft. Zara Larsson,TomWalkerVEVO,u5fVUc_sOog,18
Hozier - Someone New (Official Video),HozierVEVO,bPJSsAr2iu0,2
The Big Moon - Your Light (Official Video),TheBigMoonVEVO,1OijD72t4XY,2
King Princess - Upper West Side (Official Video),King Princess,62fsOE7rZx8,2
Cage The Elephant - Cold Cold Cold,CageTheElephantVEVO,n95eekfFZZg,3
Hayley Kiyoko - Pretty Girl (Official Audio),Hayley Kiyoko,sGV2QBN2yPU,1
Janelle Monáe – Make Me Feel [Official Music Video],Janelle Monáe,tGRzz0oqgUE,1
Conan Gray - Maniac (Official Video),ConanGrayVEVO,-E-_IRJU5w0,2
lovelytheband - broken (official video),lovelythebandVEVO,qr1-WpWOUk8,4
Zella Day - You Sexy Thing (Official Music Video),ZellaDayVEVO,MhRXOOc_p-0,1
Miike Snow - Genghis Khan (Official Video),Miike Snow,P_SlAzsXa7E,9
Dog Days Are Over,Florence + the Machine ,v3cgdlHzQDQ,6
BCUnidos- Take it Easy (ft. U.S. Girls & Ledisnky) (FIFA 19 Official Soundtrack),favelamarek,9Raf9AGZOrQ,6
What The Water Gave Me,Florence + the Machine ,FcaICyxgj0c,4
Tessa Violet - Bored (Official Music Video),Tessa Violet,tsPxaAVg584,1
dodie - Monster (Live) | Vevo DSCVR,VevoDSCVR,RdI8sH_e14s,4
"Kojey Radical, Mahalia, Swindle - Water (Official Video)",KojeyRadicalVEVO,J_lY8z2l_8E,4
J. Cole - Snow On Tha Bluff (Official Audio),J. Cole,OZa3HyVLimQ,1
Bas - Tribe with J.Cole,BasVEVO,OA8aw07dpg0,1
No Plan,Hozier ,jVxXNsVITzk,22
Arctic Monkeys - Arabella (Official Audio),Official Arctic Monkeys,Jn6-TItCazo,4
Tessa Violet - Bad Ideas (Official Music Video),Tessa Violet,eNtK6jx9y4A,1
CHVRCHES - The Mother We Share,ChvrchesVEVO,_mTRvJ9fugM,6
Ben Howard - Keep Your Head Up,BenHowardVEVO,ADP65wbBUpc,1
Tom Walker - Now You're Gone (Acoustic) ft. Zara Larsson,TomWalkerVEVO,-u9afxw5JV4,2
Stealth- Truth Is (FIFA 19 Official Soundtrack),favelamarek,7GZkseHWblg,7
Mansionair- Violet City (FIFA 19 Official Soundtrack),favelamarek,qpyRuelgbls,6
Billie Eilish - everything i wanted (Audio),BillieEilishVEVO,qCTMq7xvdXU,1
Tom Walker - My Way (Official Video),TomWalkerVEVO,g2Ubkwgjr50,2
Tom Walker - Angels (Official Video),TomWalkerVEVO,WdD-Epg1XPI,5
Words As Weapons (Official Video),Birdy,5zbe3RdLlJs,1
Nothing But Thieves - Honey Whiskey (Official Audio),NBTVEVO,JoK5BjlmGBY,41
Atomic Drum Assembly- Island Life (FIFA 19 Official Soundtrack),favelamarek,la8GsFcKvps,5
Dreaming Of You - Cigarettes After Sex,CigarettesAfterSex,ZuIDh4XIzxU,3
Hozier - Nina Cried Power ft. Mavis Staples,HozierVEVO,j2YgDua2gpk,14
"LSD - Audio (Official Video) ft. Sia, Diplo, Labrinth",SiaVEVO,tjA7nAHOAww,4
"LSD - Genius (Official Audio) ft. Labrinth, Sia, Diplo",Diplo,ah-ldSwF5hg,1
Crazy Human Psycho Crush - mashup,doddleoddle,zdVRV8HcgKM,6
Holly Humberstone - Falling Asleep At The Wheel (Official Video),Holly Humberstone,ILPo-HdvfHA,1
Bantu & Dr. Chaii - Jackie Chan (Official Video),BantuVEVO,OEb7Rh-yknQ,6
Andreya Triana- Beautiful People (FIFA 19 Official Soundtrack),favelamarek,aslQpU0yf4M,4
Lao Ra and Happy Colors- Pa'lante (FIFA 19 Official Soundtrack),favelamarek,PVDx9g-hhYY,2
Husky Loops- Everytime I Run (ft. MEI & Count Counsellor) (FIFA 19 Official Soundtrack),favelamarek,1eQGbWJzbH4,2
Bearson- It's Not This feat. Lemaitre and Josh Pan (FIFA 19 Official Soundtrack),favelamarek,RXXTnpmwPGo,2
Wovoka Gentle- 1000 Opera Singers Working In Startbucks (FIFA 19 Official Soundtrack),favelamarek,B7iON_nI1qs,5
Crystal Fighters- Another Level (FIFA 19 Official Soundtrack),favelamarek,6s2KvIOXw9Q,4
Octavian- Lightning (FIFA 19 Official Soundtrack),favelamarek,6dlN37kvY80,10
No/Me- Consistent (FIFA 19 Official Soundtrack),favelamarek,IX_OzhiBBFc,5
SUN SILVA- Blue Light (FIFA 19 Official Soundtrack),favelamarek,uFBD5LXQxtg,7
LADAMA- Porro Maracatu (TOY SELECTAH Remix) (FIFA 19 Official Soundtrack),favelamarek,g9v9vnoyZdM,3
Confidence Man- Out the Window (FIFA 19 Official Soundtrack),favelamarek,b4mO9M_FDpA,6
Stereo Honey- Where No One Knows Your Name (FIFA 19 Official Soundtrack),favelamarek,5D6ojB-lLw4,10
Logic- Warm It Up (FIFA 19 Official Soundtrack),favelamarek,ebPC39qcNNk,2
Young Fathers- Border Girl (FIFA 19 Official Soundtrack),favelamarek,PEjRlviJrbc,2
Easy Life- Pocket (FIFA 19 Official Soundtrack),favelamarek,irruBdi_K3k,5
Death Cab for Cutie- Gold Rush (FIFA 19 Official Soundtrack),favelamarek,CP9Z8FzEX-E,18
Courtney Barnett- City Looks Pretty (FIFA 19 Official Soundtrack),favelamarek,Rr4eYlhQ_kU,21
Broods- Peach (FIFA 19 Official Soundtrack),favelamarek,lAvAxpQgj60,8
Bob Moses- Heaven Only Knows (FIFA 19 Official Soundtrack),favelamarek,DthagorSKEU,12
Bas- Tribe (ft. J Cole) (FIFA 19 Official Soundtrack),favelamarek,k_Z2mnTeOPU,3
Gizmo Varillas and Baio- Losing You (Baio Remix) (FIFA 19 Official Soundtrack),favelamarek,cnz5fEHsFNw,5
Tove Styrke- Sway (FIFA 19 Official Soundtrack),favelamarek,LoFl1RavMlo,7
Champions League Remix-Hans Zimmer ft. Vince Staples (FIFA 19 Official E3 Soundtrack),favelamarek,XpS7-9FvUno,5
a song i wrote about twitter,doddleoddle,CMsz1Luzba8,1
Sesame Syrup - Cigarettes After Sex,CigarettesAfterSex,9q2UgXro0VU,2
Arsonist's Lullabye,Hozier ,QCMpHbYz9BE,9
Opera House - Cigarettes After Sex,CigarettesAfterSex,giEOcBLcnfE,2
Lost Stars,Adam Levine ,5U-JroWwFkw,2
Dermot Kennedy - Shelter,Dermot Kennedy,efhSV8HMRDQ,25
Dermot Kennedy - Lost,DermotKennedyVEVO,oK9wqtAwnoE,50
Adam Levine - Lost Stars (from Begin Again),Maroon5VEVO,cL4uhaQ58Rk,1
Flash - Cigarettes After Sex,CigarettesAfterSex,nrWC_z6l13w,1
Lifeforms,Daughter ,wcNezn6rlNM,1
Birdy - People Help The People [Official Music Video],Birdy,OmLNs6zQIHo,14
everything i wanted,Billie Eilish ,iuINiqxtjhI,1
lovely,Billie Eilish ,MMfpp0-lnw4,2
Blinding Lights | The Weeknd | Pomplamoose,PomplamooseMusic,uJnqq7Ibscw,1
Kodaline - Wherever You Are (Official Video),Kodaline,vhCEaGWTu10,1
Medicine,Daughter ,S_b1X6f5GZI,1
Nothing But Thieves - Trip Switch (Official Lyric Video),NBTVEVO,B8NCwteej8Q,7
One For The Road - original song || dodie,doddleoddle,bKOIG1sIr0o,1
Life Lesson,dodie ,lHSHUuVlZOs,1
"Can't Feel My Superbass || Dodie Clark, Andie Isalie, Orla Gartland",doddleoddle,Syd0_pZi2sY,1
Billie Eilish - Ocean Eyes (Official Music Video),Billie Eilish,viimfQi_pUw,1
Dermot Kennedy - Without Fear,Dermot Kennedy,ki-QoY3jgg0,12
Dermot Kennedy // An Evening I Will Not Forget,Dermot Kennedy,fe8b3rkpEWQ,2
Dermot Kennedy - Power Over Me (Audio),DermotKennedyVEVO,WRe1GWzhK-w,4
Dermot Kennedy - Glory,DermotKennedyVEVO,iad-ixZRlK4,34
After Rain,Dermot Kennedy ,IaeKCIBuHlI,33
Dermot Kennedy - All My Friends (Audio),Dermot Kennedy,5HwYy26LLNs,26
Impossible Soul,Sufjan Stevens ,RFXzbe2UAR0,1
Sufjan Stevens - Futile Devices (Doveman Remix) (Audio) [CALL ME BY YOUR NAME - SOUNDTRACK],TV Series & Movie Soundtrack 2,_OO_B1zkilA,1
HUMAN - acoustic version in my bedroom! | dodie,doddleoddle,-PvgXauGn9U,1
Memory Lane (feat. Tom Grennan),Bugzy Malone ,52gffuo3hes,1
Amerie - 1 Thing (Official Video),AmerieVEVO,bbqVg_23otg,1
Fade Away,Tom Walker ,EslZt5ABkjo,17
Holly Humberstone - Deep End (Official Video),Holly Humberstone,0rpdTY85LP0,1
The Lumineers - Ophelia,LumineersVEVO,pTOC_q0NLTk,11
Birdy - The A Team [Live],Birdy,p856dtR4mms,10
AURORA - The Seed,iamAURORAVEVO,_Mc_OM5oNA8,9
Dermot Kennedy - For Island Fires and Family,DermotKennedyVEVO,8EfE4W60VoA,28
Dermot Kennedy - Outnumbered,DermotKennedyVEVO,A48hOToMuRE,20
Rise Against - Swing Life Away (Official Video),RiseAgainstVEVO,BblV6AQsd2s,1
AFI - Silver And Cold (Official Music Video),AFIVEVO,BguZZ3rGKe0,1
Jimmy Eat World - The Middle (Official Music Video),JimmyEatWorldVEVO,oKsxPW6i3pM,1
Leave a Light On (Acoustic),Tom Walker ,2fIDOo3XkXc,11
"AURORA - Murder Song (5, 4, 3, 2, 1)",iamAURORAVEVO,jTwdGRHl5Mw,10
An Awkward Duet - feat. Jon Cozart || dodie,doddleoddle,IU5vKbyc3c8,2
Kasabian - Ill Ray (The King) [Official Video],KasabianVEVO,Jf3CPnDMVz0,1
Six Billion,Nothing but Thieves ,yh7ryfBzkN8,2
Dermot Kennedy - After Rain,Dermot Kennedy,KrxqoCWDPdo,17
Tempt You (Evocatio),Nothing but Thieves ,MAfmexaffFg,2
Nothing But Thieves - Sorry (Official Video),NBTVEVO,p9_BsjMi4bM,9
Daughter - No Care,DaughterVEVO,FZCZG5pwQGk,2
Seafret - Atlantis (Official Video),SeafretVEVO,gVAy3IZiL0s,12
Years & Years - Shine (Official Video),YearsAndYearsVEVO,hXTAn4ELEwM,8
Arctic Monkeys - Snap Out Of It (Official Audio),Official Arctic Monkeys,1_O_T6Aq85E,1
Tom Walker - How Can You Sleep at Night? (Audio),TomWalkerVEVO,soavmXrzuco,3
The Corner,Dermot Kennedy ,m6IKu-A9afM,11
Justice League Official Soundtrack | Everybody Knows - Sigrid | WaterTower,WaterTower Music,wfLOt5P6nSk,7
Sam Fender - Play God (Official Video),Sam Fender,L12ORqw6R7A,56
London Grammar - Hey Now (Radio 1's Big Weekend 2014),BBC Radio 1,on1QEcz1sTI,1
Talking Heads - Once in a Lifetime (Official Video),David Byrne,5IsSpAOD6K8,1
AURORA - It Happened Quiet (Audio),iamAURORAVEVO,0b1BkqJFJeg,2
Tom Walker - Not Giving In (Audio),TomWalkerVEVO,kHtrTifcB7E,13
Birdy - Wings (Live),Birdy,eBKfy0FwUC8,3
AURORA - Churchyard (Audio),iamAURORAVEVO,00hbcQ8aUjU,1
Itch,Nothing but Thieves ,b4GwIWtaDik,4
Swimming Girls - 1 2 Many,SwimmingGirlsVEVO,aklVAO3e_GQ,20
BØRNS - Electric Love (Official Music Video),BØRNSmusicVEVO,RYr96YYEaZY,5
Massive Attack - Unfinished Sympathy,MassiveAttackVEVO,ZWmrfgj0MZI,1
Massive Attack - Teardrop (Official Video),MassiveAttackVEVO,u7K72X4eo_s,1
Aurora: NPR Music Tiny Desk Concert,NPR Music,evBgLWQwAFA,1
Hozier - Talk (Audio),HozierVEVO,eCCtiK7KlSo,3
AURORA - Animal,iamAURORAVEVO,3DIT8Y3LC6M,1
Absofacto - Dissolve [Official Video],Absofacto,xe2FPP4lX14,1
Sigma - Find Me ft. Birdy,SigmaVEVO,Ec92Wa8zJs8,1
AURORA - The Seed (Audio),iamAURORAVEVO,MUIIkBZVzTU,1
AURORA - Exist For Love,iamAURORAVEVO,7YDkrJaiCrw,1
Birdy - Words [Official],Birdy,Lc8X3FXwQCg,8
Dermot Kennedy - Power Over Me,DermotKennedyVEVO,ooXGj4RGrLs,34
Birdy - Without A Word [Live],Birdy,fnAfFpNKT_E,5
alt-J - Hunger Of The Pine (Official Video),alt-J,dCCXq9QB-dQ,1
alt-J - Left Hand Free (Official Video) 1,alt-J,NRWUoDpo2fo,1
Beck - Colors,BeckVEVO,WRCA_Fo0rWA,1
Harry Styles - Watermelon Sugar (Official Video),HarryStylesVEVO,E07s5ZYygMg,1
Wham! - Last Christmas (Official 4K Video),WhamVEVO,bwNV7TAWN3M,1
Wham! - Last Christmas (Official Video),WhamVEVO,E8gmARGvPlI,1
Smash Mouth - All Star,SmashMouthVEVO,L_jWHffIx5E,1
HAIM - I Know Alone (Official Video),HaimVEVO,vfZSgr_si4I,1
Fontaines D.C. - A Hero's Death (Official Music Video),Fontaines DC,jLNt8aMNbvY,1
The Lumineers - Sleep On The Floor (Official Video),LumineersVEVO,v4pi1LxuDHc,2
The Lumineers - Ho Hey (Official Video),The Lumineers,zvCBSSwgtg4,2
Work Song,Hozier ,uWZ03hCYySU,2
Sufjan Stevens - Mystery of Love (8D audio & rain sounds),leandroxcx,ao_7PoVDrlQ,1
The Wombats - Greek Tragedy (Official Video),The Wombats,9MHmx9nvHqU,19
Dermot Kennedy - An Evening I Will Not Forget (Audio),Dermot Kennedy,s0Z0S6V0VaQ,11
Swimming Girls - Beneath You,SwimmingGirlsVEVO,bcCLiJF3BWw,19
Harry Styles - Cherry (Official Audio),HarryStylesVEVO,rGeJ73yAAhQ,4
"Zack Hemsey - ""The Way (Instrumental)""",Zack Hemsey,oN2Xs-MvxLw,1
Foals - Inhaler (Official Music Video),Foals,qJ_PMvjmC6M,1
Birdy - Wild Horses [Official],Birdy,tCP6sXi33JE,2
"Vance Joy - ""Mess is Mine"" [Official Video]",Vance Joy,1C816p-KTNk,1
The Wombats - Our Perfect Disease (Official Video),The Wombats,d3Il0bRgorM,1
The Lumineers - Cleopatra,LumineersVEVO,aN5s9N_pTUs,4
Corona Virus,Epic Mountain ,mPhp9TOX3Eo,1
Time Remastered – Soundtrack (2018),Epic Mountain Music,PgAxibDmN_E,1
Great Filter – Soundtrack (2018),Epic Mountain Music,ZUU30oNfiuI,1
Black Hole Bomb – Soundtrack (2018),Epic Mountain Music,u0yUmWt4v_Q,1
"""He's a BEAST!"" Spike Lee on Adam Driver owning BlacKkKlansman CONTAINS STRONG LANGUAGE",BBC Radio 1,xkeNEZ-G-Rw,1
Broods - Conscious (Official Audio),BroodsVEVO,NxvSVpIN7Ys,10
"Nerve. ""Get Tattoo"" DARE.",True Music LT,C3ahuBmdvDk,1
Swimming Girls - Pray In Silence,SwimmingGirlsVEVO,G2NObBxmZPs,5
Walking On Cars - Speeding Cars,WalkingOnCarsVEVO,w5h4yJ-BpL4,6
Birdy - Light Me Up (Official Video),Birdy,Bl19rs22WMU,1
Call Me by Your Name Soundtrack: Visions of Gideon (Piano sheet & Synthesia),ENPI music,nRNqxjOmdVA,1
Swimming Girls - Asking for It,SwimmingGirlsVEVO,Gr80rAyeuRA,6
Dancing Under Red Skies,Dermot Kennedy ,GrG0eEClRXg,13
BIRDY + RHODES - Let It All Go [Official],Birdy,6u0DGIh3wLA,1
Birdy - 1901 [Official Music Video],Birdy,jlaeJ6k75cY,1
Swimming Girls - Tastes Like Money,SwimmingGirlsVEVO,NTG2TG5sqHY,9
"""We're slinky!"" Anne Hathaway looks back on 'Harley Quinn', Catwoman, Les Misérables & Interstellar.",BBC Radio 1,mMEWz9uzlF4,1
"M83 - ""Wait"" (Official Video)",Creators,lAwYodrBr2Q,5
Lewis Capaldi - Grace,LewisCapaldiVEVO,m8rM7Tox1HE,11
Gabrielle Aplin - Home (Official Video),Gabrielle Aplin VEVO,8mVbdjec0pA,1
Birdy - Let Her Go (Passenger) in the Live Lounge,BBC Radio 1,kTuLDimhKaY,1
Tom Walker - Leave a Light On (Official Video),TomWalkerVEVO,nqnkBdExjws,3
Ed Sheeran - The A Team [Official Music Video],Ed Sheeran,UAWcs5H-qgQ,2
Holy Place,Swimming Girls ,kUpQhSMdRGc,2
"Kendrick Lamar, SZA - All The Stars",KendrickLamarVEVO,JQbjS0_ZfJ0,2
Birdy - Skinny Love [Official Music Video],Birdy,aNzCDt2eidg,1
Dermot Kennedy - Young & Free,DermotKennedyVEVO,hB2sUXd3eVg,14
American Dad — The Weeknd’s Dark Secret,The Weeknd,S7OTZMopkUg,1
Dermot Kennedy - Moments Passed (Audio),DermotKennedyVEVO,TWR4b5-RMcU,1
Dermot Kennedy - Outgrown (Audio),Dermot Kennedy,TINZOHZ5DK4,4
Dermot Kennedy - Redemption (Audio),Dermot Kennedy,VxVvyOvqb0c,8
For Island Fires and Family,Dermot Kennedy ,mseuQOSvUWw,18
Seafret - Wildfire (Official Video),SeafretVEVO,RHhkd2B87Q8,3
Tom Walker - Better Half of Me (Acoustic),TomWalkerVEVO,AtIYC8ulLjI,4
Neptune,Foals ,2QaJubmyBfI,6
Late Night,Foals ,qUP3HS8_uso,4
Mountain at My Gates,Foals ,LnKjwizfmAg,11
Broods - Worth The Fight (Official Audio),BroodsVEVO,CCUL-6U07cU,6
Jarryd James - 1000x (Acoustic),JarrydJamesVEVO,rHfOcoTzSU4,1
Broods - Recovery (Audio),BroodsVEVO,XTYjnX9p8IM,1
Broods - Freak Of Nature (Official Audio) ft. Tove Lo,BroodsVEVO,r5N9kW4ME5E,1
Broods - All Of Your Glory (Official Audio),BroodsVEVO,7WktmdyLW0s,1
Broods - L.A.F,BroodsVEVO,tNnlYyByWQQ,6
Broods - Mother & Father (Official Video),BroodsVEVO,N-Eobk_sfIc,2
Oh Wonder - I Wish I Never Met You,OhWonderMusicVEVO,DwRYh8lBjCI,2
Tom Walker - Heartland (Official Video),TomWalkerVEVO,CW7ipjAmhEY,1
Tom Walker - Just You and I (Acoustic),TomWalkerVEVO,Qig_yQA7s3w,1
The Killers - Shot At The Night,TheKillersVEVO,X4YK-DEkvcw,2
Fly Away With Me,Tom Walker ,ekdYqs0vfHQ,1
Better Half of Me,Tom Walker ,Gxs3Zetx3R8,1
Tom Walker - Heartbeats (Audio),TomWalkerVEVO,XY36efkOLYE,1
This is the Place,Tom Grennan ,B-d_cJOj4S4,3
Black Gold,Foals ,Dmzq60p4epU,4
Outgrown,Dermot Kennedy ,RbYSlqhc16U,5
All My Friends,Dermot Kennedy ,k4w-t0d_Y2w,30
Bastille - Oblivion (Official Music Video),BastilleVEVO,VgXOPeobPcI,1
Dermot Kennedy - All My Friends (A Film By Brendan Canty),DermotKennedyVEVO,ymNBilspilo,3
Dermot Kennedy - Power Over Me in the Live Lounge,BBCRadio1VEVO,EgJeEgJ5KdY,1
Dermot Kennedy - In the Studio (DK Diaries 001),Dermot Kennedy,sz26MaA2ybk,1
Dermot Kennedy 'Glory',Dermot Kennedy,-exnjh0-V2k,1
Tom Walker - Leave a Light On (Live Session),TomWalkerVEVO,kCntEnZD3NE,1
"Maren Morris, Hozier - The Bones (Audio)",MarenMorrisVEVO,Zmxfd3Z_wBA,9
The 1975 - Settle Down (Official Video),The1975VEVO,BsYE078RQCI,1
Is Everybody Going Crazy?,Nothing but Thieves ,GuT297Bee0s,1
FOALS - What Went Down [Official Music Video],Foals,iuQQIawCqBA,2
Tom Grennan - Royal Highness,TomGrennanVEVO,Y4O24mfB24o,2
Tom Grennan - Praying (Official Video),TomGrennanVEVO,sAwzP095AeA,15
How Can You Sleep at Night?,Tom Walker ,wv7SsmjxUeI,1
Run in the Rain,Tom Grennan ,7XasvFk4154,1
You should be sad,Halsey ,DlaVY_S75CM,3
An Evening I Will Not Forget,Dermot Kennedy ,-p0KlTFq8Ck,12
Hold Back The River,James Bay ,k8OXKvCZkAw,4
Hozier - Almost (Sweet Music) (Audio),HozierVEVO,Irw04nbXwxk,13
Resolution,Dermot Kennedy ,FBNIYF8QlFc,2
Waves,Dean Lewis ,USHn2FnZk40,4
Let It Go,James Bay ,PbRhlzlDz3o,4
Dermot Kennedy - All My Friends (Lost In The Soft Light Sessions),DermotKennedyVEVO,BnWFy0P2e-A,2
A closeness,Dermot Kennedy ,Yq8u_7cm3XU,7
Swim Good,Dermot Kennedy ,84z-g1vjJvg,5
Inhaler,Foals ,CPB1nczviYM,2
To Be Alone,Hozier ,-h7rTyHDeIY,3
The Scientist,Coldplay ,218_mJNq688,1
Chasing Cars,Snow Patrol ,cds3Vdlgdzs,1
Nobody,Hozier ,jCXuO3K3vAw,1
7,Catfish And The Bottlemen ,IqdpEUeLNG8,2
Dermot Kennedy - Boston (Official Video),DermotKennedyVEVO,CAIQRnux3YE,3
Dermot Kennedy - What Have I Done (Audio),Dermot Kennedy,WTG1YWBFpA0,8
Lewis Capaldi - Bruises (Official Video),LewisCapaldiVEVO,QwtRXG1QpR4,2
Dermot Kennedy - Moments Passed (Official Video),DermotKennedyVEVO,0njhBp4ePCk,11
All I Want,Kodaline ,d6i-lvRkB8M,1
James Arthur - Say You Won't Let Go,JamesAVEVO,0yW7w8F2TVA,2
Dermot Kennedy - Rome (Lyric Video),DermotKennedyVEVO,U-3SYni_5v0,9
George Ezra - Shotgun (Official Lyric Video),GeorgeEzraVEVO,v_B3qkp4nO4,3
The 1975 - Me & You Together Song,The1975VEVO,NF47oaT6qzc,1
Lewis Capaldi - Bruises (Official Audio),LewisCapaldiVEVO,84znrPmOePc,1
Honey Whiskey,Nothing but Thieves ,I6g-FUVDdxw,1
The 1975 - TOOTIMETOOTIMETOOTIME (Official Video),The1975VEVO,4fxPQUKfim4,3
Kacey Musgraves - High Horse (Official Music Video),KaceyMusgravesVEVO,fbNDJRwXKGc,2
Break My Stride,Matthew Wilder ,UhLDA4Wr2GU,1
Couldn't Tell,Dermot Kennedy ,OjNNuQSxfFQ,5
Dermot Kennedy // Bring Me Down,Dermot Kennedy,dDbmaPzexhM,3
Birch Tree,Foals ,1ScK3FIkaGA,2
FOALS - Give It All [Official Music Video],Foals,a00CocDCed4,2
Dexys Midnight Runners - Come on Eileen,GumboSky's,BN21TWUtWWA,4
Kacey Musgraves - Golden Hour (Audio),KaceyMusgravesVEVO,maONL_HfI20,7
Kacey Musgraves - Space Cowboy (Official Music Video),KaceyMusgravesVEVO,Kw0ih4jPOBo,7
Exits (Edit),Foals ,UOhXdkWpko8,1
Hozier - Would That I (Audio),HozierVEVO,fsu5ZZwzFyk,1
FOALS - In Degrees [Official Music Video],Foals,SND8xV_YFsw,2
Dermot Kennedy 'A closeness',Dermot Kennedy,-ut785pfMZM,4
XTC - Dear God,GumboSky's,CI9RvtagOlQ,2
David Bowie - Heroes,GumboSky's,g2wwT3_APAU,3
