Song,Artist,Link,Total
Rearrange My Mind,Monolink ,P1FhVYM7rGM,1
All I Want,Bob Moses ,E3X32f4T4cM,2
Keeping Me Alive,Bob Moses ,MIweJM5BSgA,9
Battle Lines,Bob Moses ,IkSoZO_fKH8,1
Too Close For Comfort,Bob Moses ,QcYXVYiwtfQ,2
Borderline,Tame Impala ,rymYToIEL9o,6
Like It Or Not,Bob Moses ,IsH8bBnR43I,2
Vow,TENDER ,hxUysEE8O8g,1
Lorde - Solar Power,LordeVEVO,wvsP_lzh2-8,5
Become the Warm Jets,Current Joys ,MwQd828yKkM,3
Plants,Crumb ,ajyBZVSNCiI,2
Heaven Only Knows,Michael Seyer ,YG9QyvjdKzs,1
Sweet to Me,Summer Salt ,iijU53NVjHM,2
Father,Michael Seyer ,nDBvgo-L0vo,1
Hide & Seek,Michael Seyer ,AFKhVDdULac,1
Tree Among Shrubs,Men I Trust ,3Phnt8fNiXI,1
Partridge,Clairo ,nC2xCZFBtxE,2
Blue,Far Caspian ,Vz3Lq3AGsaM,38
Breakfast in Bed,Michael Seyer ,SYpucZe-ffs,2
Perfect Places,Lorde ,Cuni8n0bwx0,9
Phoebe Bridgers - Scott Street (Official Music Video),The FADER,BBBxzmyeNdw,2
Tennis - Runner (Official Video),Tennisinc,Z6kNQEzQJpA,1
Hazel English - Never Going Home [Official Video],Hazel English,XgN_OFosKzY,7
"Snail Mail - ""Heat Wave"" (Official Video)",Matador Records,-d91Qn8QUks,27
Peach Pit - Alrighty Aphrodite (Official Video),PEACH PIT,ICNtZKmQGMw,9
Soccer Mommy - bloodstream (Official Video),Soccer Mommy,K8-J8V8cwTU,1
The Japanese House - Maybe You're the Reason,TheJapaneseHouseVEVO,dEzYD4ZielY,38
Soccer Mommy - Cool (Official Music Video),SoccerMommyVEVO,7Phsup-LrII,4
