Playlist ID,Channel ID,Time Created,Time Updated,Title,Description,Visibility
PLRawYnx8J3hLuLUym9HLsgHct3fkT7_Zf,UCleFRYxd-2ZlsDrQpy-1jXw,2021-01-08 02:15:47 UTC,2021-05-16 14:32:16 UTC,My playlist,,Unlisted

Video ID,Time Added
icSrzREkNJM,2021-01-24 16:33:06 UTC
rdml5r6Y_g4,2021-03-23 01:58:36 UTC
8QPyFlJNmus,2021-03-10 05:11:06 UTC
OOD0B4XRvi0,2021-03-12 15:24:04 UTC
aK_ozlSBID0,2021-03-07 17:39:20 UTC
bIiXUobTxH4,2021-03-23 01:58:02 UTC
D6TtASxc6d4,2021-03-20 11:04:57 UTC
qiy-TOxarTo,2021-04-13 12:11:11 UTC
GAgIg2qUfLY,2021-04-13 12:11:24 UTC
AhX6ZJEWW_s,2021-03-08 03:39:13 UTC
PynIGY0b6HM,2021-02-21 13:08:11 UTC
BAhbuNN0z-s,2021-01-24 16:32:08 UTC
RUzI-yZztXo,2021-04-14 13:21:26 UTC
r34PibDu4PQ,2021-04-14 13:25:12 UTC
wHJ_Gmkj-jY,2021-04-15 00:18:08 UTC
7qhdsk6aTd0,2021-04-14 13:33:10 UTC
T4WgM_KvYno,2021-01-24 16:36:09 UTC
lsHCzboWK0U,2021-04-14 13:29:36 UTC
SaeXN-MByjU,2021-04-14 13:33:39 UTC
7Otz6JdA4ao,2021-03-17 01:35:04 UTC
P6I4lUyEqg8,2021-04-07 03:20:08 UTC
dvw2ZSjVJ8w,2021-03-07 17:47:33 UTC
hujjeqH_IjQ,2021-03-07 17:47:06 UTC
BflqXfguhMU,2021-03-30 00:39:30 UTC
HN7IyGiejRY,2021-03-30 00:46:24 UTC
HH1l5okI9mE,2021-03-30 00:46:30 UTC
nEsUzApGEGg,2021-03-30 00:46:43 UTC
oCcKN8dKOcw,2021-03-30 00:46:45 UTC
0dRMs0Ffsqk,2021-03-30 00:46:59 UTC
gSwbYHJYskM,2021-03-23 09:08:31 UTC
9DWoUVcn7nI,2021-03-21 12:53:33 UTC
MXUDP6HP4qk,2021-03-20 12:55:24 UTC
juiULmf-AZ8,2021-03-20 12:55:40 UTC
wfslBoRI3JE,2021-03-30 00:47:30 UTC
 -PBpZbjzSlQ,2021-03-30 00:47:33 UTC
h_hFPMgK6iI,2021-03-30 01:15:11 UTC
jsX9388AAOk,2021-03-08 02:53:36 UTC
Jx5KJQb0pDo,2021-03-30 00:39:42 UTC
s_qgv75wuYY,2021-04-07 03:20:42 UTC
